time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2009-04-18T03:56:31.300Z,42.842,130.481,564.2,4.9,mb,337,43.6,,0.72,us,usp000gwag,2014-11-07T01:38:47.957Z,"10 km ESE of Hunchun, China",earthquake,,,,212,reviewed,us,us
2009-05-25T00:54:43.120Z,41.303,129.037,0,4.7,mb,131,41.2,,0.65,us,usp000gxgc,2016-02-12T16:57:38.987Z,"21 km ENE of S?ngjibaegam, North Korea",nuclear explosion,,,,53,reviewed,us,us
2009-06-25T14:03:56.270Z,33.276,130.754,14.4,4.5,mwr,61,86.1,,0.97,us,usp000gykg,2021-10-20T17:53:07.187Z,"10 km SE of Tanushimarumachi-toyoki, Japan",earthquake,,6.5,,,reviewed,us,nied
2009-07-17T20:16:45.030Z,33.455,131.788,70.8,4.3,mwr,46,73.8,,1.15,us,usp000gzd0,2015-03-24T02:21:09.756Z,"16 km ENE of Kitsuki, Japan",earthquake,,,,,reviewed,us,nied
2009-09-01T21:40:22.420Z,33.822,132.714,35,4,mb,8,224.3,,1.16,us,usp000h14k,2014-11-07T01:39:38.209Z,"3 km N of Masaki-ch?, Japan",earthquake,,,,5,reviewed,us,us
2010-02-18T01:13:19.510Z,42.587,130.703,577.7,6.9,mwb,524,17,,1.35,us,usp000h7dn,2022-05-02T21:37:24.323Z,"15 km SSW of Kraskino, Russia",earthquake,,3.9,,,reviewed,us,us
2010-02-21T02:49:44.850Z,33.813,132.182,10,4.1,mb,24,118.1,,1.11,us,usp000h7he,2014-11-07T01:40:43.968Z,"18 km SSE of Yanai, Japan",earthquake,,,,4,reviewed,us,us
2010-02-21T07:29:09.110Z,42.526,130.684,569.9,4.5,mb,182,44.4,,0.8,us,usp000h7hk,2014-11-07T01:40:43.999Z,"22 km SSW of Kraskino, Russia",earthquake,,3.5,,73,reviewed,us,us
2010-05-13T11:01:14.690Z,33.367,131.495,104,4.8,mwc,141,31.6,,0.79,us,usp000hcq1,2016-11-10T02:28:10.507Z,"3 km W of Hiji, Japan",earthquake,,3,,,reviewed,us,gcmt
2010-07-23T05:25:46.360Z,34.001,132.83,15.7,4.3,mb,21,113.3,,1.14,us,usp000hgjf,2014-11-07T01:41:59.496Z,"5 km ENE of H?j?, Japan",earthquake,,26.1,,5,reviewed,us,us
2010-09-09T01:12:49.500Z,42.487,130.848,577.9,4.3,mb,43,55.8,,0.89,us,usp000hkft,2014-11-07T01:42:25.719Z,"25 km SSE of Kraskino, Russia",earthquake,,5.8,,18,reviewed,us,us
2010-12-26T11:25:06.000Z,33.974,131.261,10.1,4.4,mb,12,112.6,,1,us,usp000hs1d,2014-11-07T01:43:15.345Z,"3 km NNE of Ube, Japan",earthquake,,14.8,,1,reviewed,us,us
2011-01-07T23:34:10.890Z,43.005,131.035,553.3,4.8,mb,238,44.9,,0.72,us,usp000hsqn,2014-11-07T01:43:23.272Z,"32 km WNW of Slavyanka, Russia",earthquake,,3.1,,113,reviewed,us,us
2011-01-12T01:19:49.990Z,33.286,123.966,10,4.9,mb,83,59,,1.12,us,usp000hsy2,2014-11-07T01:43:25.549Z,"219 km W of Gaigeturi, South Korea",earthquake,,,,46,reviewed,us,us
2011-05-10T15:26:04.610Z,43.292,130.938,544.6,5.7,mwc,542,17.2,,0.81,us,usp000j1c2,2022-04-08T21:47:51.434Z,"46 km WNW of Barabash, Russia",earthquake,,,,,reviewed,us,gcmt
2011-06-03T16:57:31.560Z,35.027,132.325,10,5,mwc,151,72,,1.31,us,usp000j2ne,2022-04-08T21:50:09.827Z,"9 km ENE of G?tsuch?, Japan",earthquake,,,,,reviewed,us,gcmt
2011-11-21T10:16:33.810Z,34.847,132.715,35,5.1,mwc,137,60.3,,0.86,us,usp000jb72,2021-10-20T17:59:09.929Z,"13 km WNW of Miyoshi, Japan",earthquake,,,,,reviewed,us,gcmt
2011-11-24T19:35:30.920Z,34.947,132.745,34.1,4.5,mb,46,89.6,,0.95,us,usp000jbbq,2021-10-20T17:59:21.934Z,"18 km NNW of Miyoshi, Japan",earthquake,,12.4,,15,reviewed,us,us
2012-09-08T01:41:25.180Z,33.773,132.206,52.8,4.6,mb,129,70.1,,0.88,us,usp000jrys,2015-03-24T02:15:04.869Z,"23 km SSE of Yanai, Japan",earthquake,,,,45,reviewed,us,us
2012-12-22T06:15:31.180Z,33.472,132.123,54.9,4.6,mb,146,77.2,,0.88,us,usp000jx8q,2015-03-24T01:36:40.515Z,"39 km W of ?zu, Japan",earthquake,,4.5,,80,reviewed,us,us
2013-02-12T02:57:51.490Z,41.299,129.004,0,5.1,mb,426,39.1,,0.82,us,usc000f5t0,2016-01-07T00:17:26.255Z,"18 km ENE of S?ngjibaegam, North Korea",nuclear explosion,,,,296,reviewed,us,us
2013-04-05T13:00:02.130Z,42.736,131.003,563.3,6.3,mww,680,16.5,,0.86,us,usb000g0cq,2022-05-03T17:26:07.665Z,"13 km NNW of Zarubino, Russia",earthquake,,2.5,,,reviewed,us,us
2013-04-06T00:29:55.090Z,42.726,130.976,562.8,5.8,mww,654,24.8,,0.78,us,usb000g128,2022-05-03T16:13:24.028Z,"13 km NW of Zarubino, Russia",earthquake,,2.1,,,reviewed,us,us
2013-04-20T23:21:29.460Z,35.16,124.447,10,4.8,mb,135,55.3,,0.92,us,usb000gcwz,2015-01-30T10:27:24.642Z,"156 km WNW of Sinan, South Korea",earthquake,,,,97,reviewed,us,us
2013-05-17T22:02:25.780Z,37.631,124.531,10,4.8,mb,100,35.6,,1.03,us,us2013qha6,2015-03-24T18:21:42.551Z,"80 km WSW of Ongjin, North Korea",earthquake,,,,54,reviewed,us,us
2013-10-29T20:17:50.710Z,43.2375,130.8797,554.28,5.1,mb,,36,1.253,0.76,us,usc000kr0x,2014-01-10T10:03:35.000Z,"49 km W of Barabash, Russia",earthquake,,4.6,0.024,,reviewed,us,us
